"subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","selected_concurrent_func","category_complexity","category_function","trial_index"
"36d26ef8-b94c-4357-8a69-a0139369c709","count","high complexity, high function","garn","img/stim_hchf_a.png","right","ind",0,"high","high",4
"36d26ef8-b94c-4357-8a69-a0139369c709","count","high complexity, low function","blicket","img/stim_hclf_b.png","right","con",1,"high","low",5
"6bd58025-8ef6-496b-bfed-e80ddd9327ec","count","low complexity, high function","garn","img/stim_lchf_b.png","left","ind",0,"low","high",1
"6bd58025-8ef6-496b-bfed-e80ddd9327ec","count","medium complexity, medium function","toma","img/stim_mcmf_a.png","left","con",1,"medium","medium",2
"6bd58025-8ef6-496b-bfed-e80ddd9327ec","count","low complexity, low function","zorp","img/stim_lclf_b.png","left","ind",0,"low","low",3
"6bd58025-8ef6-496b-bfed-e80ddd9327ec","count","high complexity, high function","sarel","img/stim_hchf_a.png","right","ind",0,"high","high",4
"6bd58025-8ef6-496b-bfed-e80ddd9327ec","count","high complexity, low function","blicket","img/stim_hclf_b.png","left","ind",0,"high","low",5
"7511a99c-b6b4-4520-a3aa-b9046bc5ef58","count","medium complexity, medium function","blicket","img/stim_mcmf_a.png","right","ind",0,"medium","medium",1
"7511a99c-b6b4-4520-a3aa-b9046bc5ef58","count","high complexity, low function","sarel","img/stim_hclf_b.png","left","con",1,"high","low",2
"7511a99c-b6b4-4520-a3aa-b9046bc5ef58","count","low complexity, high function","garn","img/stim_lchf_a.png","left","con",1,"low","high",3
"7511a99c-b6b4-4520-a3aa-b9046bc5ef58","count","high complexity, high function","toma","img/stim_hchf_b.png","right","con",1,"high","high",4
"7511a99c-b6b4-4520-a3aa-b9046bc5ef58","count","low complexity, low function","zorp","img/stim_lclf_b.png","right","con",1,"low","low",5
"f92f2353-fa0d-45b6-8830-ca405d360b6d","count","medium complexity, medium function","blicket","img/stim_mcmf_a.png","right","ind",0,"medium","medium",1
"f92f2353-fa0d-45b6-8830-ca405d360b6d","count","low complexity, high function","garn","img/stim_lchf_a.png","right","con",1,"low","high",2
"f92f2353-fa0d-45b6-8830-ca405d360b6d","count","high complexity, low function","sarel","img/stim_hclf_a.png","left","con",1,"high","low",3
"f92f2353-fa0d-45b6-8830-ca405d360b6d","count","low complexity, low function","zorp","img/stim_lclf_b.png","right","con",1,"low","low",4
"f92f2353-fa0d-45b6-8830-ca405d360b6d","count","high complexity, high function","toma","img/stim_hchf_b.png","left","con",1,"high","high",5
"491ff38d-698d-4106-8b74-b59bdccb5fe2","count","high complexity, high function","sarel","img/stim_hchf_b.png","right","ind",0,"high","high",1
"491ff38d-698d-4106-8b74-b59bdccb5fe2","count","low complexity, high function","toma","img/stim_lchf_a.png","right","con",1,"low","high",2
"491ff38d-698d-4106-8b74-b59bdccb5fe2","count","high complexity, low function","blicket","img/stim_hclf_b.png","left","con",1,"high","low",3
"491ff38d-698d-4106-8b74-b59bdccb5fe2","count","low complexity, low function","garn","img/stim_lclf_a.png","right","ind",0,"low","low",4
"491ff38d-698d-4106-8b74-b59bdccb5fe2","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","right","ind",0,"medium","medium",5
"78ee9703-f8cd-48d8-91b5-28d9232eb000","count","low complexity, high function","toma","img/stim_lchf_a.png","right","ind",0,"low","high",1
"78ee9703-f8cd-48d8-91b5-28d9232eb000","count","low complexity, low function","sarel","img/stim_lclf_a.png","right","con",1,"low","low",2
"78ee9703-f8cd-48d8-91b5-28d9232eb000","count","high complexity, low function","blicket","img/stim_hclf_a.png","left","con",1,"high","low",3
"78ee9703-f8cd-48d8-91b5-28d9232eb000","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","left","ind",0,"medium","medium",4
"78ee9703-f8cd-48d8-91b5-28d9232eb000","count","high complexity, high function","zorp","img/stim_hchf_b.png","right","ind",0,"high","high",5
"5d229e85-c555-4ea8-911f-316834d49b90","count","high complexity, high function","toma","img/stim_hchf_b.png","left","ind",0,"high","high",1
"5d229e85-c555-4ea8-911f-316834d49b90","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","con",1,"low","low",2
"5d229e85-c555-4ea8-911f-316834d49b90","count","low complexity, high function","sarel","img/stim_lchf_b.png","right","ind",0,"low","high",3
"5d229e85-c555-4ea8-911f-316834d49b90","count","high complexity, low function","garn","img/stim_hclf_a.png","left","ind",0,"high","low",4
"5d229e85-c555-4ea8-911f-316834d49b90","count","medium complexity, medium function","blicket","img/stim_mcmf_a.png","right","con",1,"medium","medium",5
"db1667b8-e01d-4579-8b78-9ea2c13a6b3d","count","medium complexity, medium function","blicket","img/stim_mcmf_a.png","left","ind",0,"medium","medium",1
"db1667b8-e01d-4579-8b78-9ea2c13a6b3d","count","high complexity, high function","garn","img/stim_hchf_b.png","right","con",1,"high","high",2
"db1667b8-e01d-4579-8b78-9ea2c13a6b3d","count","high complexity, low function","zorp","img/stim_hclf_b.png","right","ind",0,"high","low",3
"db1667b8-e01d-4579-8b78-9ea2c13a6b3d","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","con",1,"low","high",4
"db1667b8-e01d-4579-8b78-9ea2c13a6b3d","count","low complexity, low function","toma","img/stim_lclf_b.png","right","ind",0,"low","low",5
"b306a325-e836-4ff9-ae1f-e8457c1095b2","count","low complexity, low function","toma","img/stim_lclf_b.png","left","con",1,"low","low",1
"b306a325-e836-4ff9-ae1f-e8457c1095b2","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","left","con",1,"medium","medium",2
"b306a325-e836-4ff9-ae1f-e8457c1095b2","count","high complexity, low function","zorp","img/stim_hclf_a.png","left","ind",0,"high","low",3
"b306a325-e836-4ff9-ae1f-e8457c1095b2","count","low complexity, high function","blicket","img/stim_lchf_a.png","right","con",1,"low","high",4
"b306a325-e836-4ff9-ae1f-e8457c1095b2","count","high complexity, high function","garn","img/stim_hchf_a.png","right","ind",0,"high","high",5
"607223b0-f511-4556-8aee-50be02cb607d","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","right","ind",0,"medium","medium",1
"607223b0-f511-4556-8aee-50be02cb607d","count","low complexity, low function","toma","img/stim_lclf_a.png","right","ind",0,"low","low",2
"607223b0-f511-4556-8aee-50be02cb607d","count","high complexity, high function","garn","img/stim_hchf_a.png","left","con",1,"high","high",3
"607223b0-f511-4556-8aee-50be02cb607d","count","high complexity, low function","sarel","img/stim_hclf_b.png","right","ind",0,"high","low",4
"607223b0-f511-4556-8aee-50be02cb607d","count","low complexity, high function","blicket","img/stim_lchf_b.png","left","con",1,"low","high",5
