"","subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","selected_concurrent_func","category_complexity","category_function","trial_index"
"53","29a426fe-a086-44ad-95fc-0e4c08c11562","count","low complexity, low function","garn","img/stim_lclf_b.png","right","ind",0,"low","low",3
"54","29a426fe-a086-44ad-95fc-0e4c08c11562","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","ind",0,"low","high",4
"55","29a426fe-a086-44ad-95fc-0e4c08c11562","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","right","con",1,"medium","medium",5
"56","c9903b33-2987-4356-a747-e77561233672","count","low complexity, high function","zorp","img/stim_lchf_a.png","right","ind",0,"low","high",1
"57","c9903b33-2987-4356-a747-e77561233672","count","high complexity, low function","toma","img/stim_hclf_b.png","left","con",1,"high","low",2
"58","c9903b33-2987-4356-a747-e77561233672","count","high complexity, high function","garn","img/stim_hchf_a.png","left","con",1,"high","high",3
"59","c9903b33-2987-4356-a747-e77561233672","count","low complexity, low function","blicket","img/stim_lclf_b.png","right","ind",0,"low","low",4
"60","c9903b33-2987-4356-a747-e77561233672","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","right","ind",0,"medium","medium",5
"61","f758bd42-f641-43ce-be1d-9902dc416584","count","high complexity, low function","sarel","img/stim_hclf_b.png","left","ind",0,"high","low",1
"62","f758bd42-f641-43ce-be1d-9902dc416584","count","low complexity, high function","garn","img/stim_lchf_b.png","left","ind",0,"low","high",2
"63","f758bd42-f641-43ce-be1d-9902dc416584","count","medium complexity, medium function","toma","img/stim_mcmf_a.png","right","ind",0,"medium","medium",3
"64","f758bd42-f641-43ce-be1d-9902dc416584","count","low complexity, low function","zorp","img/stim_lclf_b.png","left","con",1,"low","low",4
"65","f758bd42-f641-43ce-be1d-9902dc416584","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","ind",0,"high","high",5
"66","d9e292c0-d634-49c5-8473-e25259e693db","count","high complexity, low function","blicket","img/stim_hclf_b.png","left","ind",0,"high","low",1
"67","d9e292c0-d634-49c5-8473-e25259e693db","count","medium complexity, medium function","garn","img/stim_mcmf_a.png","right","con",1,"medium","medium",2
"68","d9e292c0-d634-49c5-8473-e25259e693db","count","low complexity, high function","toma","img/stim_lchf_a.png","left","ind",0,"low","high",3
"69","d9e292c0-d634-49c5-8473-e25259e693db","count","high complexity, high function","zorp","img/stim_hchf_b.png","right","con",1,"high","high",4
"70","d9e292c0-d634-49c5-8473-e25259e693db","count","low complexity, low function","sarel","img/stim_lclf_b.png","left","ind",0,"low","low",5
