"subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","selected_concurrent_func"
"17ad5d54-e575-4259-9407-d4877316fe68","count","hchf","sarel","img/stim_hchf_a.png","right","ind",0
"15fedfbb-720c-4a32-8e13-714ca1ed2c03","count","hclf","blicket","img/stim_hclf_a.png","left","ind",0
"15fedfbb-720c-4a32-8e13-714ca1ed2c03","count","hchf","toma","img/stim_hchf_a.png","right","con",1
"15fedfbb-720c-4a32-8e13-714ca1ed2c03","count","mcmf","sarel","img/stim_mcmf_b.png","left","ind",0
"15fedfbb-720c-4a32-8e13-714ca1ed2c03","count","lclf","garn","img/stim_lclf_a.png","left","con",1
"15fedfbb-720c-4a32-8e13-714ca1ed2c03","count","lchf","zorp","img/stim_lchf_a.png","right","con",1
"15ea518f-2e43-458b-9b05-6627377da6b3","count","lclf","garn","img/stim_lclf_a.png","right","ind",0
"15ea518f-2e43-458b-9b05-6627377da6b3","count","mcmf","blicket","img/stim_mcmf_b.png","right","ind",0
"15ea518f-2e43-458b-9b05-6627377da6b3","count","lchf","zorp","img/stim_lchf_b.png","left","ind",0
"15ea518f-2e43-458b-9b05-6627377da6b3","count","hchf","sarel","img/stim_hchf_b.png","right","ind",0
"15ea518f-2e43-458b-9b05-6627377da6b3","count","hclf","toma","img/stim_hclf_a.png","right","ind",0
"b2798b7f-326a-4f84-91fe-ece8661ed197","count","lclf","zorp","img/stim_lclf_a.png","right","ind",0
"b2798b7f-326a-4f84-91fe-ece8661ed197","count","hchf","blicket","img/stim_hchf_a.png","left","ind",0
"b2798b7f-326a-4f84-91fe-ece8661ed197","count","hclf","sarel","img/stim_hclf_b.png","right","con",1
"b2798b7f-326a-4f84-91fe-ece8661ed197","count","lchf","toma","img/stim_lchf_b.png","right","con",1
"b2798b7f-326a-4f84-91fe-ece8661ed197","count","mcmf","garn","img/stim_mcmf_a.png","right","ind",0
"0146545b-61c6-4d4d-b35c-1a7e83a8bbbd","count","lclf","toma","img/stim_lclf_a.png","left","con",1
"0146545b-61c6-4d4d-b35c-1a7e83a8bbbd","count","lchf","sarel","img/stim_lchf_a.png","left","con",1
"0146545b-61c6-4d4d-b35c-1a7e83a8bbbd","count","mcmf","garn","img/stim_mcmf_a.png","right","ind",0
"0146545b-61c6-4d4d-b35c-1a7e83a8bbbd","count","hclf","zorp","img/stim_hclf_b.png","left","ind",0
"0146545b-61c6-4d4d-b35c-1a7e83a8bbbd","count","hchf","blicket","img/stim_hchf_b.png","left","con",1
"7706d3d4-0c17-45c6-88f4-1d4c4b2009e4","count","mcmf","toma","img/stim_mcmf_a.png","left","ind",0
"7706d3d4-0c17-45c6-88f4-1d4c4b2009e4","count","lchf","blicket","img/stim_lchf_a.png","right","ind",0
"7706d3d4-0c17-45c6-88f4-1d4c4b2009e4","count","lclf","garn","img/stim_lclf_b.png","right","ind",0
"7706d3d4-0c17-45c6-88f4-1d4c4b2009e4","count","hclf","sarel","img/stim_hclf_a.png","left","ind",0
"7706d3d4-0c17-45c6-88f4-1d4c4b2009e4","count","hchf","zorp","img/stim_hchf_a.png","right","ind",0
"e5be97e3-053d-43a9-9e86-e1b2cfd18f42","count","mcmf","garn","img/stim_mcmf_b.png","left","con",1
"e5be97e3-053d-43a9-9e86-e1b2cfd18f42","count","lchf","blicket","img/stim_lchf_b.png","right","con",1
"e5be97e3-053d-43a9-9e86-e1b2cfd18f42","count","lclf","zorp","img/stim_lclf_b.png","right","ind",0
"e5be97e3-053d-43a9-9e86-e1b2cfd18f42","count","hclf","toma","img/stim_hclf_b.png","right","con",1
"e5be97e3-053d-43a9-9e86-e1b2cfd18f42","count","hchf","sarel","img/stim_hchf_b.png","left","ind",0
"13ce9561-c1da-4aba-b021-19fee2aedbf8","count","hchf","zorp","img/stim_hchf_a.png","right","ind",0
"13ce9561-c1da-4aba-b021-19fee2aedbf8","count","mcmf","garn","img/stim_mcmf_b.png","right","ind",0
"13ce9561-c1da-4aba-b021-19fee2aedbf8","count","hclf","toma","img/stim_hclf_a.png","left","ind",0
"13ce9561-c1da-4aba-b021-19fee2aedbf8","count","lchf","sarel","img/stim_lchf_a.png","left","ind",0
"13ce9561-c1da-4aba-b021-19fee2aedbf8","count","lclf","blicket","img/stim_lclf_a.png","left","ind",0
"19ff3dd4-c4f9-4506-b4d0-81be73143d31","count","mcmf","sarel","img/stim_mcmf_b.png","right","con",1
"19ff3dd4-c4f9-4506-b4d0-81be73143d31","count","lchf","blicket","img/stim_lchf_a.png","left","con",1
"19ff3dd4-c4f9-4506-b4d0-81be73143d31","count","lclf","garn","img/stim_lclf_a.png","left","ind",0
"19ff3dd4-c4f9-4506-b4d0-81be73143d31","count","hclf","zorp","img/stim_hclf_b.png","right","con",1
"19ff3dd4-c4f9-4506-b4d0-81be73143d31","count","hchf","toma","img/stim_hchf_b.png","right","con",1
